,Lowest Values,Run Times (s)
0,"[1.13  1.13  1.13  1.13  1.13  1.13  0.898 0.898 0.898 0.898 0.898 0.898
 0.898 0.898 0.898 0.724 0.724 0.711 0.601 0.601 0.601 0.601 0.601 0.568
 0.568 0.568 0.547 0.527 0.527 0.527 0.527 0.527 0.513 0.513 0.513 0.513
 0.512 0.512 0.512 0.507 0.503 0.503 0.503 0.503 0.503 0.503 0.501 0.501
 0.501 0.501 0.501 0.501 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5  ]",6.978210210800171
1,"[1.596 1.596 1.596 1.596 1.596 1.596 1.596 1.596 1.596 1.596 1.596 1.596
 1.595 1.507 1.313 1.    1.    0.919 0.919 0.882 0.882 0.83  0.83  0.83
 0.74  0.74  0.714 0.714 0.71  0.71  0.71  0.71  0.652 0.652 0.652 0.652
 0.652 0.634 0.634 0.634 0.634 0.634 0.631 0.631 0.631 0.63  0.63  0.621
 0.621 0.616 0.616 0.616 0.612 0.612 0.612 0.59  0.59  0.59  0.59  0.59
 0.59  0.583 0.583 0.581 0.569 0.569 0.569 0.569 0.569 0.569 0.569 0.569
 0.569 0.561 0.561 0.561 0.561 0.558 0.558 0.558 0.558 0.558 0.558 0.558
 0.558 0.558 0.558 0.558 0.558 0.558 0.555 0.555 0.555 0.555 0.555 0.555
 0.555 0.555 0.555 0.555 0.555 0.555 0.553 0.553 0.551 0.551 0.551 0.551
 0.551 0.551 0.551 0.551 0.551 0.551 0.551 0.551 0.551 0.551 0.551 0.551
 0.551 0.551 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538
 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538
 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538
 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538 0.538
 0.538 0.538 0.538 0.538]",8.841666460037231
2,"[1.527 1.527 1.527 1.527 1.527 0.889 0.889 0.594 0.594 0.594 0.594 0.594
 0.594 0.594 0.594 0.594 0.594 0.594 0.594 0.594 0.594 0.594 0.594 0.594
 0.594 0.594 0.594 0.581 0.581 0.581 0.581 0.562 0.55  0.55  0.531 0.531
 0.531 0.531 0.531 0.531 0.522 0.522 0.522 0.522 0.521 0.521 0.521 0.521
 0.521 0.521 0.521 0.517 0.514 0.514 0.514 0.506 0.506 0.506 0.506 0.506
 0.506 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505
 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505
 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505
 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505 0.505
 0.505 0.505 0.505]",6.368865251541138
3,"[1.322 1.322 1.322 1.322 1.322 0.848 0.848 0.704 0.704 0.704 0.704 0.704
 0.704 0.704 0.704 0.704 0.704 0.704 0.704 0.704 0.641 0.641 0.641 0.633
 0.633 0.633 0.633 0.633 0.633 0.633 0.632 0.632 0.632 0.583 0.583 0.583
 0.583 0.583 0.583 0.581 0.581 0.559 0.559 0.559 0.559 0.554 0.554 0.554
 0.516 0.516 0.516 0.516 0.516 0.516 0.516 0.516 0.516 0.516 0.516 0.516
 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504 0.504
 0.504 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503
 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503
 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503
 0.503 0.503]",5.563909292221069
4,"[0.834 0.834 0.834 0.834 0.834 0.834 0.834 0.834 0.834 0.834 0.834 0.553
 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553 0.553
 0.553 0.553 0.553 0.553 0.553 0.553 0.539 0.539 0.539 0.539 0.539 0.509
 0.508 0.508 0.508 0.508 0.508 0.508 0.508 0.505 0.505 0.505 0.505 0.505
 0.505 0.505 0.505 0.505 0.505 0.502 0.502 0.501 0.501 0.501 0.501 0.501
 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5  ]",5.815073013305664
5,"[0.969 0.969 0.969 0.906 0.906 0.906 0.906 0.906 0.906 0.69  0.69  0.675
 0.675 0.614 0.614 0.614 0.582 0.565 0.565 0.565 0.565 0.548 0.548 0.548
 0.548 0.529 0.523 0.523 0.517 0.504 0.504 0.504 0.504 0.504 0.504 0.504
 0.502 0.502 0.502 0.502 0.502 0.502 0.502 0.501 0.501 0.501 0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5  ]",3.920609712600708
6,"[1.36  1.36  1.36  1.36  1.36  1.36  1.36  1.136 0.836 0.836 0.836 0.836
 0.836 0.836 0.836 0.836 0.619 0.619 0.619 0.619 0.619 0.57  0.57  0.57
 0.57  0.553 0.553 0.546 0.546 0.546 0.546 0.53  0.507 0.507 0.507 0.507
 0.507 0.507 0.507 0.507 0.507 0.507 0.507 0.507 0.507 0.507 0.507 0.507
 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503 0.503
 0.503 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501
 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501
 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501
 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501 0.501
 0.501 0.501 0.501]",5.774017572402954
7,"[1.001 1.001 1.001 1.001 1.001 1.001 1.001 1.001 1.001 1.001 1.001 1.001
 1.001 1.001 0.971 0.971 0.947 0.947 0.947 0.756 0.756 0.721 0.721 0.721
 0.533 0.533 0.533 0.533 0.533 0.533 0.533 0.533 0.533 0.533 0.533 0.533
 0.533 0.533 0.533 0.533 0.533 0.533 0.518 0.518 0.518 0.515 0.515 0.515
 0.515 0.515 0.511 0.511 0.511 0.511 0.511 0.511 0.511 0.507 0.504 0.504
 0.504 0.504 0.503 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
 0.5   0.5   0.5   0.5   0.5  ]",4.2944724559783936
8,"[1.612 1.612 1.612 1.06  1.06  1.06  1.06  1.06  1.06  1.06  1.06  1.06
 1.06  1.06  1.06  1.06  1.06  1.06  1.06  1.06  1.06  1.06  1.06  1.06
 1.06  1.06  0.79  0.79  0.79  0.709 0.681 0.681 0.681 0.638 0.638 0.638
 0.567 0.567 0.567 0.567 0.567 0.565 0.565 0.565 0.556 0.556 0.556 0.556
 0.556 0.554 0.55  0.55  0.542 0.542 0.542 0.535 0.535 0.534 0.534 0.534
 0.534 0.534 0.534 0.534 0.531 0.53  0.53  0.527 0.527 0.527 0.527 0.527
 0.527 0.527 0.527 0.527 0.527 0.527 0.527 0.527 0.527 0.527 0.527 0.527
 0.527 0.527 0.527 0.527 0.527 0.527 0.526 0.526 0.526 0.526 0.526 0.526
 0.526 0.526 0.526 0.526 0.526 0.526 0.526 0.526 0.526 0.526 0.526 0.526
 0.526 0.526 0.526 0.526 0.526 0.526 0.518 0.518 0.518 0.518 0.518 0.518
 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518
 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518
 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518
 0.518 0.518 0.518 0.518 0.518 0.518 0.518 0.518]",9.000076293945312
9,"[1.849 1.849 1.849 1.849 1.849 1.849 1.849 1.578 1.578 1.578 1.578 1.578
 1.578 1.559 1.559 1.529 1.496 1.496 1.496 1.496 1.496 1.424 1.424 1.424
 1.424 1.352 1.352 1.352 1.02  1.02  0.98  0.98  0.98  0.655 0.655 0.655
 0.655 0.655 0.655 0.655 0.655 0.655 0.655 0.655 0.655 0.655 0.655 0.655
 0.593 0.593 0.593 0.593 0.593 0.593 0.593 0.593 0.593 0.593 0.593 0.557
 0.548 0.534 0.534 0.534 0.534 0.533 0.533 0.533 0.526 0.526 0.526 0.526
 0.526 0.526 0.52  0.52  0.52  0.52  0.52  0.52  0.52  0.52  0.517 0.517
 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517
 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517
 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517
 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517 0.517]",6.69311785697937
