,Lowest Values,Run Times (s)
0,"[1.0113176 1.0113176 1.0113176 1.0113176 1.0113176 1.0113176 1.0113176
 0.966146  0.966146  0.966146  0.966146  0.966146  0.966146  0.966146
 0.966146  0.966146  0.966146  0.966146  0.966146  0.966146  0.966146
 0.966146  0.966146  0.966146  0.966146  0.8759464 0.8759464 0.8759464
 0.8759464 0.8759464 0.8759464 0.8759464 0.8759464 0.8759464 0.8759464
 0.727988  0.727988  0.727988  0.727988  0.727988  0.727988  0.727988
 0.727988  0.727988  0.727988  0.6840396 0.6840396 0.6840396 0.6840396
 0.6840396 0.6840396 0.6840396 0.6057452 0.6057452 0.6057452 0.6057452
 0.6057452 0.60091   0.60091   0.60091   0.60091   0.60091   0.60091
 0.5778392 0.5778392 0.5778392 0.5778392 0.5778392 0.5778392 0.5778392
 0.5778392 0.5778392 0.5778392 0.5778392 0.5778392 0.534688  0.534688
 0.534688  0.5289432 0.5289432 0.5289432 0.5289432 0.5289432 0.5289432
 0.5289432 0.5289432 0.5289432 0.5289432 0.5289432 0.5289432 0.5289432
 0.5289432 0.5289432 0.5289432 0.5289432 0.5181148 0.5150856 0.5150856
 0.5150856 0.5150856 0.4930604 0.4930604 0.4930604 0.4930604 0.4930604
 0.4930604 0.4930604 0.4930604 0.4930604 0.4784632 0.4784632 0.4784632
 0.4784632 0.4784632 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428
 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428
 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428
 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428
 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428
 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428
 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428 0.4695428
 0.4695428 0.4695428 0.4695428]",17.695573091506958
1,"[1.1393108 1.1393108 1.1393108 1.1393108 1.1393108 1.1393108 1.0211372
 1.0211372 1.0211372 1.0211372 1.0211372 1.0211372 0.8294524 0.8294524
 0.8294524 0.8294524 0.8294524 0.8294524 0.8294524 0.8294524 0.8294524
 0.8294524 0.8294524 0.7807888 0.7807888 0.7807888 0.7807888 0.7807888
 0.7807888 0.7807888 0.7807888 0.7807888 0.7807888 0.7687504 0.7687504
 0.7687504 0.7549504 0.7549504 0.7549504 0.7549504 0.7549504 0.7549504
 0.6232148 0.6232148 0.6232148 0.6232148 0.6232148 0.6232148 0.6232148
 0.6232148 0.6232148 0.6232148 0.6232148 0.6232148 0.6232148 0.6123968
 0.6123968 0.6123968 0.5993052 0.5993052 0.572084  0.5715116 0.5715116
 0.5715116 0.5715116 0.5715116 0.5715116 0.5715116 0.5715116 0.5715116
 0.5529992 0.5529992 0.5529992 0.5529992 0.5529992 0.5529992 0.5380988
 0.5373016 0.5373016 0.5373016 0.5373016 0.5373016 0.536988  0.536988
 0.536988  0.536988  0.536988  0.536988  0.536988  0.525778  0.525778
 0.525778  0.5053576 0.5053576 0.5053576 0.5053576 0.5053576 0.5053576
 0.5053576 0.5053576 0.5053576 0.5053576 0.5053576 0.5053576 0.5053576
 0.5053576 0.5053576 0.5053576 0.5053576 0.5053576 0.4952036 0.4952036
 0.4952036 0.4952036 0.4952036 0.4952036 0.4952036 0.4952036 0.4952036
 0.4952036 0.4952036 0.4944404 0.4944404 0.4944404 0.4944404 0.4944404
 0.4944404 0.4944404 0.4944404 0.4944404 0.4944404 0.4944404 0.4944404
 0.4944404 0.4944404 0.4944404 0.4944404 0.4944404 0.4944404 0.4944404
 0.4944404 0.4944404 0.4944404 0.4944404 0.4944404 0.4944404 0.4944404
 0.4944404 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864
 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864
 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864
 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864
 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864
 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864
 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864 0.4865864
 0.4865864 0.4865864]",25.05618166923523
2,"[0.8586128 0.8586128 0.8586128 0.8586128 0.8586128 0.8586128 0.8586128
 0.8586128 0.8586128 0.8586128 0.8586128 0.8586128 0.8586128 0.8586128
 0.8586128 0.8586128 0.8586128 0.8586128 0.8586128 0.8586128 0.8586128
 0.8586128 0.8586128 0.7429668 0.7429668 0.7429668 0.7429668 0.7429668
 0.7429668 0.7429668 0.7429668 0.7429668 0.7429668 0.7429668 0.7429668
 0.7429668 0.7429668 0.7307688 0.7307688 0.7307688 0.7307688 0.7307688
 0.7307688 0.7307688 0.7307688 0.7307688 0.7307688 0.7307688 0.7307688
 0.6392364 0.6392364 0.6392364 0.6392364 0.6342208 0.6342208 0.6342208
 0.6342208 0.6342208 0.6116572 0.6116572 0.609906  0.609906  0.609906
 0.609906  0.5419356 0.5419356 0.5419356 0.5419356 0.53186   0.53186
 0.53186   0.53186   0.53186   0.53186   0.53186   0.53186   0.5238596
 0.5238596 0.5238596 0.5238596 0.5238596 0.5238596 0.5238596 0.5238596
 0.5238596 0.5238596 0.5238596 0.5238596 0.511944  0.511944  0.511944
 0.511944  0.4978956 0.4978956 0.4978956 0.4978956 0.4978956 0.4978956
 0.4978956 0.4978956 0.4978956 0.4978956 0.4978956 0.4978956 0.4978956
 0.4978956 0.4978956 0.4978956 0.4978956 0.4978956 0.4978956 0.4978956
 0.4978956 0.4978956 0.4978956 0.4978956 0.4978956 0.4978956 0.4978956
 0.4978956 0.4978956 0.490648  0.490648  0.4742892 0.4742892 0.4742892
 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892
 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892
 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892
 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892
 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892
 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892
 0.4742892 0.4742892 0.4742892 0.4742892 0.4742892]",22.31785225868225
3,"[1.2170452 1.2170452 1.2170452 1.2170452 1.2170452 1.2170452 1.2170452
 1.181542  1.181542  1.181542  1.181542  1.181542  1.181542  1.181542
 1.1181036 1.1181036 1.1181036 1.1181036 1.1181036 1.1181036 1.1181036
 1.0950904 1.0950904 0.9612012 0.7466704 0.7466704 0.7466704 0.7466704
 0.7466704 0.7466704 0.7466704 0.7466704 0.7466704 0.7466704 0.7466704
 0.7466704 0.7466704 0.7466704 0.7002076 0.7002076 0.7002076 0.7002076
 0.699826  0.616976  0.616976  0.616976  0.616976  0.616976  0.616976
 0.5731712 0.5731712 0.5731712 0.5731712 0.5731712 0.5731712 0.5731712
 0.5731712 0.5731712 0.5731712 0.5731712 0.5731712 0.5731712 0.5503516
 0.5503516 0.5503516 0.5366168 0.5366168 0.5338908 0.5338908 0.5338908
 0.5338908 0.5338908 0.5338908 0.5338908 0.5338908 0.5338908 0.5338908
 0.5338908 0.5335536 0.5335536 0.5335536 0.5335536 0.5335536 0.51099
 0.51099   0.51099   0.51099   0.51099   0.51099   0.51099   0.51099
 0.51099   0.4909512 0.4909512 0.4909512 0.4909512 0.4909512 0.4909512
 0.4909512 0.4909512 0.4909512 0.4909512 0.4909512 0.4909512 0.4909512
 0.4909512 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672
 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672
 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672
 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672
 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672
 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672
 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672 0.4617672
 0.4617672 0.4617672]",18.833364486694336
4,"[0.9016724 0.9016724 0.9016724 0.9016724 0.9016724 0.9016724 0.9016724
 0.9016724 0.9016724 0.9016724 0.9016724 0.9016724 0.9016724 0.9016724
 0.9016724 0.9016724 0.9016724 0.9016724 0.9016724 0.9016724 0.9016724
 0.9016724 0.9016724 0.9016724 0.9016724 0.9016724 0.9016724 0.9016724
 0.9016724 0.9016724 0.8447184 0.8447184 0.8447184 0.8447184 0.8447184
 0.7416076 0.6660288 0.6660288 0.6660288 0.6660288 0.6660288 0.6660288
 0.6660288 0.6660288 0.6660288 0.6660288 0.6660288 0.6660288 0.6660288
 0.6660288 0.6660288 0.6660288 0.6660288 0.6660288 0.6660288 0.5730144
 0.5730144 0.5730144 0.5730144 0.4999944 0.4999944 0.4999944 0.4999944
 0.4999944 0.4999944 0.4999944 0.4999944 0.4999944 0.4999944 0.4999944
 0.4999944 0.4999944 0.4999944 0.4999944 0.4999944 0.4999944 0.4999944
 0.4999944 0.4999944 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048
 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048
 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048
 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048
 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048
 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048
 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048 0.4816048
 0.4816048 0.4816048 0.4816048]",13.489493608474731
5,"[1.08951   1.08951   1.08951   1.08951   1.08951   1.08951   1.08951
 0.877742  0.877742  0.877742  0.877742  0.877742  0.877742  0.877742
 0.877742  0.877742  0.877742  0.877742  0.877742  0.877742  0.877742
 0.877742  0.877742  0.877742  0.877742  0.877742  0.7603372 0.7603372
 0.7603372 0.7603372 0.7603372 0.7603372 0.7603372 0.7603372 0.7603372
 0.7603372 0.6082256 0.6082256 0.6082256 0.6082256 0.6082256 0.6082256
 0.5973292 0.5973292 0.5973292 0.5973292 0.5973292 0.5973292 0.5973292
 0.5973292 0.5973292 0.5973292 0.5367632 0.5367632 0.5367632 0.5367632
 0.5367632 0.5367632 0.5367632 0.5367632 0.5367632 0.5367632 0.5367632
 0.5367632 0.5367632 0.5367632 0.5367632 0.5367632 0.5367632 0.5367632
 0.5367632 0.5367632 0.5363712 0.5363712 0.5210212 0.5210212 0.5210212
 0.5210212 0.5210212 0.5210212 0.5210212 0.5210212 0.516118  0.516118
 0.516118  0.516118  0.516118  0.516118  0.500836  0.500836  0.500836
 0.500836  0.500836  0.500836  0.500836  0.500836  0.500836  0.500836
 0.4813016 0.4813016 0.4813016 0.4715292 0.4715292 0.4715292 0.4715292
 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292
 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292
 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292
 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292
 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292
 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292 0.4715292
 0.4715292 0.4715292 0.4715292 0.4715292]",18.648723602294922
6,"[0.7371304 0.7371304 0.7371304 0.7371304 0.7371304 0.7371304 0.7371304
 0.7371304 0.7371304 0.7371304 0.7371304 0.7371304 0.7371304 0.7371304
 0.7371304 0.7371304 0.7371304 0.7371304 0.7371304 0.7371304 0.7371304
 0.7371304 0.7371304 0.7371304 0.7371304 0.7371304 0.7371304 0.7371304
 0.7371304 0.733372  0.6595992 0.6595992 0.6155044 0.6155044 0.6155044
 0.6155044 0.6155044 0.6155044 0.6155044 0.6155044 0.6155044 0.6134084
 0.6134084 0.6134084 0.5546928 0.5546928 0.5544784 0.5438984 0.5438984
 0.5438984 0.541554  0.541554  0.541554  0.5267216 0.5267216 0.5267216
 0.5267216 0.5267216 0.5244556 0.5244556 0.5071872 0.5071872 0.5071872
 0.5071872 0.5071872 0.5071872 0.5071872 0.5071872 0.5071872 0.5071872
 0.5071872 0.5039332 0.4974932 0.4974932 0.4974932 0.4886512 0.4886512
 0.4886512 0.4886512 0.4886512 0.4886512 0.4886512 0.4886512 0.4886512
 0.4886512 0.4886512 0.4886512 0.4886512 0.4886512 0.4886512 0.4886512
 0.4886512 0.4886512 0.4886512 0.4886512 0.4886512 0.4886512 0.4886512
 0.4886512 0.4886512 0.4886512 0.4886512 0.4886512 0.4807188 0.4807188
 0.4807188 0.4807188 0.4807188 0.4807188 0.4807188 0.4807188 0.4807188
 0.4807188 0.4807188 0.4807188 0.4807188 0.4807188 0.4807188 0.4807188
 0.4807188 0.4807188 0.4807188 0.4807188 0.4807188 0.4807188 0.4807188
 0.4807188 0.4807188 0.4792264 0.4792264 0.4792264 0.4792264 0.4792264
 0.474514  0.474514  0.474514  0.474514  0.474514  0.474514  0.474514
 0.474514  0.474514  0.474514  0.474514  0.474514  0.474514  0.474514
 0.474514  0.474514  0.474514  0.474514  0.474514  0.474514  0.474514
 0.474514  0.474514  0.474514  0.474514  0.474514  0.474514  0.474514
 0.474514  0.474514  0.474514  0.474514  0.474514  0.474514  0.474514
 0.474514  0.474514  0.474514  0.474514  0.474514  0.474514  0.474514
 0.474514  0.474514  0.474514  0.474514  0.474514  0.474514  0.474514
 0.474514 ]",21.335946083068848
7,"[1.1847876 1.1847876 1.1847876 1.1847876 1.1847876 1.1847876 1.1847876
 1.1847876 1.1847876 1.1847876 1.1847876 1.1847876 1.1847876 1.1847876
 1.1847876 1.1847876 1.1847876 1.1847876 1.1847876 0.922958  0.922958
 0.922958  0.922958  0.922958  0.922958  0.922958  0.922958  0.922958
 0.922958  0.922958  0.922958  0.922958  0.922958  0.922958  0.922958
 0.922958  0.922958  0.922958  0.922958  0.922958  0.922958  0.922958
 0.922958  0.9164264 0.8631892 0.8631892 0.8631892 0.8631892 0.8631892
 0.8631892 0.8565556 0.8448204 0.839682  0.839682  0.8319432 0.8319432
 0.8154692 0.8154692 0.8154692 0.8154692 0.8154692 0.8154692 0.7526608
 0.7526608 0.7526608 0.7526608 0.7526608 0.7526608 0.7526608 0.7526608
 0.7346632 0.7346632 0.731532  0.731532  0.731532  0.699826  0.699826
 0.6629552 0.6629552 0.6629552 0.6629552 0.6629552 0.6629552 0.6629552
 0.6629552 0.6629552 0.653452  0.6300364 0.6300364 0.6300364 0.6300364
 0.6300364 0.6300364 0.6300364 0.6300364 0.6300364 0.6300364 0.6300364
 0.6300364 0.6300364 0.6300364 0.6300364 0.5936832 0.5936832 0.5936832
 0.5889812 0.5889812 0.5889812 0.5575312 0.5575312 0.5575312 0.5575312
 0.5575312 0.5575312 0.5575312 0.5575312 0.5575312 0.5575312 0.5575312
 0.5575312 0.5575312 0.5575312 0.5575312 0.5575312 0.5575312 0.5575312
 0.5575312 0.5575312 0.5575312 0.5575312 0.5575312 0.5575312 0.5575312
 0.5575312 0.5575312 0.5575312 0.5247012 0.5247012 0.5247012 0.5247012
 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012
 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012
 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012
 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012
 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012
 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012 0.5247012
 0.5247012 0.5247012 0.5247012 0.5247012]",19.046916007995605
8,"[1.1420624 1.1420624 1.1420624 1.1420624 1.1420624 1.1420624 0.9333264
 0.9333264 0.9333264 0.9333264 0.9333264 0.9333264 0.9333264 0.9333264
 0.9333264 0.9333264 0.8581868 0.8581868 0.8581868 0.8581868 0.8581868
 0.8581868 0.8581868 0.8581868 0.77719   0.77719   0.77719   0.77719
 0.77719   0.77719   0.77719   0.77719   0.77719   0.7360772 0.7249116
 0.7249116 0.7249116 0.7249116 0.7249116 0.7249116 0.7249116 0.7249116
 0.7249116 0.6609008 0.6609008 0.6609008 0.6609008 0.6609008 0.6609008
 0.6609008 0.6609008 0.6609008 0.660522  0.592886  0.592886  0.572186
 0.572186  0.572186  0.5559264 0.5559264 0.5559264 0.5559264 0.5559264
 0.5559264 0.5559264 0.50317   0.50317   0.50317   0.50317   0.50317
 0.50317   0.50317   0.50317   0.50317   0.50317   0.50317   0.50317
 0.50317   0.50317   0.50317   0.50317   0.50317   0.50317   0.50317
 0.50317   0.50317   0.50317   0.50317   0.50317   0.50317   0.50317
 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188
 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188
 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188
 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188
 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188
 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188
 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188 0.4853188
 0.4853188]",15.554906845092773
9,"[0.815728  0.815728  0.815728  0.815728  0.815728  0.815728  0.815728
 0.815728  0.815728  0.815728  0.815728  0.815728  0.815728  0.815728
 0.815728  0.815728  0.815728  0.815728  0.815728  0.815728  0.815728
 0.815728  0.815728  0.7527392 0.7527392 0.7527392 0.7527392 0.7527392
 0.7527392 0.7527392 0.7527392 0.7527392 0.7527392 0.7527392 0.7527392
 0.7527392 0.7504732 0.7504732 0.7504732 0.7504732 0.7155    0.6711228
 0.6711228 0.6711228 0.6711228 0.5958264 0.5958264 0.5958264 0.5958264
 0.5958264 0.5958264 0.5958264 0.5958264 0.5958264 0.5958264 0.5958264
 0.5958264 0.5958264 0.5958264 0.5958264 0.5958264 0.5916864 0.5916864
 0.5916864 0.5889708 0.5889708 0.5889708 0.5354616 0.5354616 0.5354616
 0.5354616 0.5354616 0.5354616 0.5354616 0.5354616 0.5354616 0.5354616
 0.5354616 0.5354616 0.5354616 0.5354616 0.5354616 0.5354616 0.5354616
 0.53416   0.53416   0.5073544 0.5073544 0.5073544 0.5073544 0.5073544
 0.5073544 0.5073544 0.5073544 0.5073544 0.5073544 0.5073544 0.5073544
 0.5073544 0.5073544 0.5073544 0.5073544 0.5061992 0.5061992 0.5061992
 0.5061992 0.5061992 0.5061992 0.4847804 0.4847804 0.4847804 0.4847804
 0.4847804 0.4847804 0.4847804 0.4847804 0.4847804 0.4847804 0.4847804
 0.4847804 0.4847804 0.4847804 0.4847804 0.4847804 0.4847804 0.4847804
 0.4847804 0.4847804 0.4847804 0.4847804 0.4780032 0.4780032 0.4780032
 0.4780032 0.4780032 0.4780032 0.4780032 0.4780032 0.4780032 0.4780032
 0.4780032 0.4780032 0.4780032 0.4780032 0.4780032 0.4780032 0.4746708
 0.4746708 0.4746708 0.4746708 0.4746708 0.4746708 0.4746708 0.4746708
 0.4746708 0.4746708 0.4746708 0.4736384 0.4736384 0.4736384 0.4736384
 0.4736384 0.4736384 0.4736384 0.4736384 0.4736384 0.4736384 0.4736384
 0.4736384 0.4736384 0.4736384 0.4736384 0.4736384 0.4736384 0.4736384
 0.4736384 0.4736384 0.4736384 0.4736384 0.4736384 0.4736384 0.4736384
 0.4736384 0.4736384 0.4736384 0.4736384 0.4736384 0.4736384 0.4736384
 0.4736384 0.4736384 0.4549796 0.4549796 0.4549796 0.4549796 0.4549796
 0.4549796 0.4549796 0.4549796 0.4549796]",22.510643482208252
