,Lowest Values,Run Times (s)
0,"[5.211 5.211 5.211 5.211 5.211 5.211 5.211 5.211 5.211 5.211 3.431 3.431
 2.902 2.902 2.902 2.902 2.902 2.902 2.902 2.902 2.902 2.902 2.902 2.902
 2.558 2.558 2.558 2.558 2.558 2.558 2.558 2.558 2.558 2.558 1.921 1.921
 1.921 1.921 1.921 1.921 1.921 1.921 1.921 1.789 1.789 1.789 1.789 1.764
 1.764 1.109 1.109 1.109 1.109 1.109 1.109 1.109 1.109 1.109 1.109 1.109
 1.109 1.109 1.109 1.109 1.109 1.109 1.109 1.09  1.09  1.09  1.09  1.09
 1.09  1.09  1.09  1.09  1.09  1.09  1.09  1.09  1.09  1.09  1.09  1.09
 1.09  1.09  1.09  1.09  1.09  1.09  1.09  1.054 1.007 1.007 1.007 1.007
 1.007 1.007 0.995 0.995 0.995 0.995 0.995 0.995 0.995 0.995 0.995 0.967
 0.967 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776
 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776
 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776
 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776 0.776
 0.776 0.776 0.776]",79.36922144889832
1,"[5.905 5.905 5.905 5.905 5.905 5.414 5.414 5.414 5.414 5.414 5.414 5.414
 5.414 5.319 4.141 4.141 4.141 4.141 4.141 4.141 4.065 4.065 4.065 3.609
 3.609 3.609 3.609 3.609 3.609 3.609 3.609 3.609 3.609 3.609 3.609 3.609
 3.609 3.609 3.609 3.609 3.609 3.609 3.609 3.356 3.356 3.356 3.356 3.356
 3.356 3.356 3.266 3.266 3.266 3.266 3.266 3.266 3.266 3.266 3.266 3.266
 3.266 3.266 3.221 3.221 3.174 3.126 3.126 3.126 3.09  3.09  3.09  3.09
 3.052 3.052 2.934 2.934 2.934 2.934 2.934 2.934 2.17  2.17  2.17  2.17
 2.17  2.17  2.17  2.17  2.17  2.17  2.17  2.17  2.17  2.17  2.17  2.17
 2.068 2.068 2.068 2.068 2.068 2.068 2.068 2.043 2.043 1.811 1.811 1.811
 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811
 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811 1.811
 1.811 1.811 1.651 1.651 1.651 1.651 1.651 1.651 1.651 1.651 1.651 1.651
 1.651 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605
 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605 1.605
 1.605 1.605 1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6
 1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6
 1.6   1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599
 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599 1.599
 1.599 1.599 1.599 1.599]",102.18518614768982
2,"[7.124 7.124 7.124 5.143 5.143 5.143 5.143 5.143 5.143 5.143 5.095 5.095
 5.095 5.095 5.095 5.095 5.095 5.068 5.068 5.068 5.068 5.068 4.142 4.142
 4.142 4.142 4.142 4.142 4.142 3.047 3.047 3.047 3.047 3.047 3.047 3.047
 3.047 3.047 3.047 3.047 2.643 2.643 2.643 2.643 2.643 2.643 2.643 2.643
 2.643 2.458 2.458 2.458 2.458 2.458 2.429 2.429 1.866 1.866 1.866 1.866
 1.866 1.866 1.866 1.866 1.866 1.866 1.866 1.866 1.866 1.866 1.866 1.866
 1.866 1.866 1.866 1.866 1.866 1.866 1.866 1.661 1.661 1.661 1.661 1.661
 1.661 1.596 1.596 1.596 1.596 1.596 1.596 1.596 1.596 1.354 1.354 1.354
 1.354 1.354 1.354 1.354 1.354 1.354 1.354 1.354 1.354 1.354 1.354 1.354
 1.354 1.354 1.354 1.354 1.354 1.354 1.354 1.354 1.354 1.337 1.337 1.337
 1.337 1.337 1.337 1.337 1.337 1.337 1.337 1.337 1.337 1.337 1.337 1.31
 1.31  1.31  1.31  1.31  1.31  1.31  1.262 1.223 1.223 1.223 1.223 1.223
 1.223 1.204 1.204 1.204 1.204 1.204 1.204 1.204 1.125 1.125 1.125 1.125
 1.125 1.125 1.125 1.081 1.081 1.081 1.081 1.081 1.081 1.081 1.081 1.081
 1.081 1.081 1.081 1.081 1.081 1.081 1.081 1.081 1.081 1.081 1.081 1.077
 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077
 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077
 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077
 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077 1.077
 1.077]",131.10604429244995
3,"[5.38  5.38  5.38  5.38  5.38  5.38  5.38  5.38  5.38  5.38  5.38  5.38
 5.38  5.38  5.38  5.38  5.38  5.38  4.518 4.518 4.518 4.518 4.518 4.518
 4.518 4.518 4.518 4.518 4.518 2.773 2.773 2.773 2.773 2.773 2.773 2.773
 2.773 2.773 2.773 2.773 2.773 2.773 2.773 2.773 2.773 2.773 2.773 2.618
 2.618 2.234 2.234 2.234 2.234 2.234 2.234 2.234 2.234 2.139 2.139 2.139
 2.139 2.139 2.139 2.139 2.139 2.139 2.139 2.139 2.139 2.139 2.139 2.139
 2.139 2.139 2.139 2.139 2.033 2.033 1.956 1.956 1.956 1.956 1.956 1.956
 1.956 1.956 1.956 1.812 1.812 1.812 1.812 1.812 1.812 1.812 1.812 1.812
 1.812 1.812 1.697 1.697 1.697 1.697 1.697 1.697 1.697 1.697 1.697 1.697
 1.551 1.551 1.551 1.551 1.551 1.551 1.551 1.551 1.551 1.551 1.551 1.551
 1.551 1.551 1.551 1.551 1.551 1.551 1.481 1.481 1.481 1.481 1.445 1.445
 1.445 1.445 1.445 1.445 1.445 1.445 1.445 1.445 1.445 1.445 1.445 1.445
 1.445 1.445 1.445 1.445 1.445 1.445 1.445 1.445 1.445 1.445 1.445 1.445
 1.429 1.429 1.416 1.396 1.396 1.396 1.396 1.396 1.396 1.396 1.396 1.396
 1.368 1.356 1.356 1.356 1.356 1.356 1.356 1.329 1.329 1.329 1.329 1.329
 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329
 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329
 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329
 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329 1.329]",113.25588345527649
4,"[5.915 5.915 5.179 5.179 5.179 5.179 4.352 4.352 3.704 3.704 3.704 3.704
 3.704 3.704 3.704 2.916 2.916 2.916 2.916 2.916 2.916 2.916 2.916 2.916
 2.916 2.916 2.916 2.916 2.916 2.419 2.419 2.419 2.419 2.419 2.419 2.419
 2.419 2.419 2.419 2.419 2.419 2.419 2.419 2.208 2.208 2.208 2.208 2.208
 2.208 2.208 2.208 1.768 1.768 1.768 1.768 1.768 1.768 1.768 1.768 1.768
 1.768 1.768 1.768 1.768 1.768 1.768 1.768 1.768 1.768 1.768 1.768 1.768
 1.768 1.768 1.768 1.752 1.752 1.752 1.752 1.752 1.752 1.752 1.64  1.64
 1.64  1.64  1.64  1.64  1.638 1.638 1.638 1.638 1.638 1.571 1.571 1.571
 1.496 1.496 1.496 1.496 1.496 1.496 1.496 1.496 1.496 1.496 1.496 1.496
 1.496 1.496 1.465 1.465 1.465 1.465 1.465 1.465 1.465 1.465 1.465 1.465
 1.465 1.438 1.438 1.438 1.438 1.438 1.438 1.438 1.438 1.438 1.438 1.438
 1.438 1.438 1.438 1.42  1.42  1.42  1.418 1.416 1.416 1.416 1.416 1.416
 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416
 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416
 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416
 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416 1.416]",115.345712184906
5,"[5.774 5.774 5.774 5.774 5.774 5.774 5.774 5.774 5.774 5.774 5.712 5.712
 5.712 5.712 5.712 5.454 5.454 5.454 4.886 4.886 4.528 4.528 4.528 3.3
 3.3   3.3   2.432 2.432 2.432 2.432 2.432 2.432 2.432 2.432 2.432 2.432
 2.432 2.432 2.432 2.432 2.432 2.432 2.432 2.432 2.432 2.432 2.432 2.432
 2.432 2.432 2.432 2.432 2.432 2.432 2.432 2.432 2.432 2.432 2.432 2.432
 2.432 2.278 2.278 2.278 2.278 2.278 2.119 2.119 2.119 2.119 2.119 2.119
 2.119 2.036 2.036 2.036 2.036 2.036 2.036 2.036 2.036 2.036 2.002 1.896
 1.761 1.761 1.761 1.761 1.761 1.761 1.761 1.761 1.759 1.759 1.713 1.713
 1.55  1.55  1.55  1.55  1.547 1.547 1.547 1.547 1.547 1.547 1.547 1.547
 1.542 1.542 1.542 1.542 1.542 1.341 1.341 1.341 1.341 1.341 1.341 1.341
 1.341 1.341 1.341 1.341 1.341 1.341 1.341 1.341 1.261 1.261 1.25  1.25
 1.25  1.08  1.08  1.08  1.08  1.08  1.08  1.08  1.08  1.08  1.08  1.08
 1.08  1.08  1.08  1.08  1.08  1.08  1.08  1.08  1.08  1.08  1.08  1.08
 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003
 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003
 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003
 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003 1.003
 1.003 1.003]",110.57822966575623
6,"[4.516 4.516 4.516 4.516 4.516 4.516 4.516 4.172 4.172 4.172 4.172 4.172
 4.172 4.172 4.172 4.172 4.172 4.172 4.172 4.172 4.172 4.172 4.172 3.828
 3.828 3.828 3.361 3.361 3.361 3.361 3.361 3.361 3.361 3.361 3.293 3.069
 3.069 3.069 3.069 3.069 3.069 3.069 3.069 3.064 3.064 3.064 3.064 2.64
 2.64  2.64  2.64  2.64  2.64  2.64  2.64  2.64  2.64  2.64  2.64  2.64
 2.64  2.64  2.64  2.523 2.523 2.328 2.328 2.328 2.328 2.328 2.328 2.328
 2.328 2.328 2.328 2.328 2.328 2.328 2.328 2.241 2.241 1.991 1.991 1.991
 1.991 1.991 1.991 1.991 1.991 1.991 1.839 1.839 1.839 1.839 1.839 1.839
 1.839 1.839 1.839 1.839 1.839 1.839 1.839 1.839 1.839 1.839 1.839 1.839
 1.775 1.775 1.775 1.745 1.745 1.745 1.745 1.745 1.642 1.642 1.642 1.642
 1.642 1.642 1.642 1.642 1.642 1.642 1.642 1.642 1.642 1.642 1.636 1.636
 1.636 1.636 1.636 1.636 1.636 1.63  1.63  1.63  1.63  1.63  1.63  1.63
 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558
 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558 1.558
 1.558 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522
 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522
 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522
 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522 1.522
 1.522 1.522 1.522]",111.99462914466858
7,"[5.715 3.951 3.951 3.951 3.951 3.951 3.577 3.577 3.577 3.577 3.577 3.577
 3.577 3.577 3.577 3.577 3.577 3.577 3.577 3.577 3.577 2.307 2.307 2.307
 2.307 2.307 2.307 2.307 2.307 2.307 2.307 2.307 2.307 2.307 2.307 2.307
 2.307 2.307 2.307 2.307 2.307 2.307 2.307 2.307 2.307 2.307 2.307 2.237
 2.237 2.19  2.19  2.19  2.19  2.19  2.142 1.659 1.659 1.659 1.659 1.659
 1.659 1.659 1.659 1.659 1.659 1.659 1.659 1.659 1.659 1.659 1.659 1.659
 1.659 1.659 1.659 1.659 1.659 1.659 1.659 1.659 1.659 1.645 1.645 1.645
 1.645 1.645 1.645 1.637 1.637 1.637 1.637 1.637 1.637 1.566 1.566 1.526
 1.526 1.526 1.526 1.526 1.526 1.526 1.526 1.526 1.526 1.526 1.511 1.503
 1.503 1.503 1.503 1.503 1.503 1.503 1.503 1.503 1.503 1.503 1.503 1.503
 1.5   1.5   1.5   1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464
 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464
 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464
 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464 1.464
 1.464 1.464 1.464 1.464 1.464]",90.89229393005371
8,"[4.933 4.933 4.933 4.933 4.933 4.933 4.417 4.417 4.417 4.417 4.417 4.417
 4.417 3.587 3.587 3.587 3.38  3.38  3.38  3.38  3.38  3.38  3.38  3.38
 3.38  3.38  3.248 3.248 3.248 3.248 3.248 3.248 3.248 3.248 3.248 3.13
 2.818 2.818 2.545 2.545 2.545 2.545 2.545 2.545 2.545 2.545 2.545 2.545
 2.545 2.545 2.545 2.545 2.545 2.545 2.545 2.545 2.319 2.319 2.319 2.319
 2.093 2.093 2.093 2.093 2.093 2.093 2.093 2.093 2.093 2.093 2.093 2.093
 2.093 2.093 2.093 2.093 2.053 2.053 2.053 2.053 2.053 2.053 2.053 2.053
 1.958 1.958 1.958 1.958 1.958 1.958 1.958 1.958 1.958 1.958 1.958 1.958
 1.958 1.94  1.9   1.9   1.9   1.9   1.9   1.9   1.9   1.9   1.9   1.9
 1.9   1.9   1.895 1.895 1.895 1.895 1.895 1.895 1.895 1.895 1.895 1.868
 1.868 1.868 1.868 1.868 1.868 1.868 1.868 1.868 1.813 1.813 1.813 1.813
 1.813 1.813 1.813 1.813 1.813 1.768 1.746 1.746 1.746 1.746 1.746 1.746
 1.734 1.734 1.734 1.734 1.734 1.734 1.734 1.734 1.734 1.734 1.734 1.734
 1.734 1.734 1.734 1.734 1.734 1.734 1.734 1.728 1.728 1.728 1.728 1.728
 1.728 1.728 1.728 1.728 1.728 1.728 1.721 1.721 1.721 1.721 1.721 1.721
 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721
 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721
 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.721 1.714
 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714
 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714
 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714
 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714 1.714
 1.714]",168.44681429862976
9,"[6.34  6.34  4.379 4.379 4.379 4.379 4.379 4.379 4.379 4.379 4.379 4.379
 4.379 4.379 4.379 4.379 4.379 4.379 4.379 4.379 4.379 4.128 4.128 4.128
 4.128 4.128 4.128 4.128 4.128 4.128 4.128 4.128 4.128 4.128 4.128 4.124
 4.124 3.89  3.89  3.89  2.423 2.423 2.423 2.423 2.423 2.423 2.423 2.423
 2.423 2.423 2.423 2.423 2.423 2.423 2.423 2.423 2.423 2.423 2.423 2.423
 2.423 2.423 2.236 2.236 2.096 2.096 2.096 1.942 1.942 1.942 1.942 1.942
 1.942 1.942 1.942 1.942 1.774 1.774 1.31  1.31  1.31  1.31  1.31  1.31
 1.31  1.31  1.31  1.31  1.31  1.31  1.31  1.31  1.31  1.31  1.31  1.31
 1.31  1.31  1.31  1.31  1.31  1.286 1.286 1.286 1.286 1.286 1.286 1.286
 1.286 1.286 1.286 1.215 1.215 1.215 1.215 1.215 1.215 1.215 1.215 1.215
 1.215 1.188 1.161 1.161 1.005 1.005 1.005 1.005 1.005 1.005 1.005 1.005
 1.005 1.005 1.005 1.005 1.005 0.99  0.905 0.905 0.905 0.905 0.905 0.905
 0.902 0.892 0.892 0.892 0.892 0.879 0.879 0.879 0.873 0.873 0.791 0.791
 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791
 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791
 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.791 0.778
 0.778 0.778 0.778 0.778 0.778 0.778 0.778 0.778 0.778 0.778 0.764 0.764
 0.764 0.764 0.764 0.764 0.764 0.764 0.764 0.764 0.764 0.764 0.764 0.764
 0.764 0.764 0.764 0.764 0.764 0.764 0.764 0.764 0.764 0.764 0.764 0.764
 0.764 0.764 0.764 0.764 0.764 0.764 0.739 0.739 0.739 0.739 0.739 0.739
 0.739 0.739 0.739 0.739 0.739 0.739 0.739 0.739 0.739 0.739 0.739 0.739
 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724
 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724
 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724
 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724 0.724
 0.724 0.724]",178.46672105789185
