,Lowest Values,Run Times (s)
0,"[6.5055198 6.5055198 5.481628  5.481628  5.481628  5.481628  5.481628
 5.481628  5.481628  5.481628  5.481628  5.481628  5.481628  5.481628
 5.481628  5.481628  5.481628  5.481628  5.481628  5.481628  5.28243
 4.351834  4.351834  4.351834  4.351834  4.351834  4.351834  4.351834
 4.351834  4.351834  4.351834  4.351834  4.351834  4.2603776 4.2603776
 4.2603776 4.1077054 4.1077054 3.8530024 3.8530024 3.8530024 3.8530024
 3.8530024 3.8530024 3.8530024 3.8530024 3.8530024 3.8530024 3.8530024
 3.8530024 3.8530024 3.8530024 3.8530024 3.8072518 3.7656236 3.7656236
 3.7656236 3.3456838 3.3456838 3.3456838 3.3456838 3.3456838 3.2960284
 3.2960284 3.2960284 3.2960284 3.1971404 3.1971404 3.1971404 3.1971404
 3.1971404 3.1971404 3.1971404 3.1971404 3.1971404 3.1971404 3.1164134
 2.9507348 2.9507348 2.9507348 2.9507348 2.9507348 2.9507348 2.9507348
 2.9507348 2.9507348 2.9507348 2.9288312 2.9288312 2.9288312 2.9288312
 2.9288312 2.9288312 2.9288312 2.9288312 2.9288312 2.9288312 2.9288312
 2.9288312 2.9288312 2.9288312 2.9288312 2.9288312 2.8443398 2.8443398
 2.8443398 2.8443398 2.8400342 2.8400342 2.8038702 2.7782302 2.695227
 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112
 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112
 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112
 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112
 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112
 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112
 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112 2.5355112
 2.5355112]",244.51225686073303
1,"[5.8168294 5.8168294 3.9759498 3.9759498 3.9759498 3.9759498 3.9759498
 3.9759498 3.9759498 3.8998556 3.880399  3.871002  3.871002  3.871002
 3.871002  3.5050196 3.5050196 3.5050196 3.5050196 3.1727572 3.1727572
 3.1727572 3.1727572 3.1727572 3.1727572 3.1727572 3.1727572 3.1727572
 3.1727572 3.1727572 3.1727572 2.9902814 2.9902814 2.9902814 2.9902814
 2.9902814 2.9902814 2.9902814 2.9902814 2.9902814 2.9285814 2.9285814
 2.9285814 2.9285814 2.9259478 2.9259478 2.9259478 2.70127   2.6663388
 2.6518826 2.6518826 2.6518826 2.6518826 2.6518826 2.6518826 2.6518826
 2.6518826 2.6518826 2.6518826 2.6518826 2.6518826 2.6518826 2.6518826
 2.6518826 2.563731  2.563731  2.563731  2.4299928 2.4299928 2.4299928
 2.4299928 2.4299928 2.4299928 2.4299928 2.4299928 2.3976482 2.3976482
 2.3976482 2.3976482 2.3976482 2.3976482 2.3976482 2.3976482 2.3976482
 2.3976482 2.3976482 2.1533786 2.1533786 2.1533786 2.1533786 2.1533786
 2.1533786 2.1533786 2.1533786 2.1533786 2.1533786 2.1533786 2.1533786
 2.1533786 2.1533786 2.1533786 2.1533786 2.1533786 1.965716  1.965716
 1.965716  1.965716  1.965716  1.965716  1.965716  1.9524112 1.9524112
 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112
 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112
 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112
 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112
 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112 1.9524112
 1.9524112 1.9524112 1.948977  1.948977  1.948977  1.948977  1.8723422
 1.8723422 1.8723422 1.8723422 1.8723422 1.8723422 1.8723422 1.8723422
 1.8723422 1.8723422 1.8723422 1.8723422 1.8723422 1.8723422 1.8723422
 1.8723422 1.8723422 1.8723422 1.8723422 1.8723422 1.8723422 1.8723422
 1.8512806 1.8512806 1.8512806 1.8512806 1.8512806 1.8512806 1.8512806
 1.8512806 1.8512806 1.8512806 1.8512806 1.8512806 1.8512806 1.8512806
 1.8512806 1.8512806 1.8512806 1.8512806 1.8512806 1.8512806 1.8512806
 1.8512806 1.8512806 1.8512806 1.8512806]",320.58230209350586
2,"[6.0319292 6.0319292 6.0319292 6.0319292 6.0319292 6.0319292 6.0319292
 6.0319292 6.0319292 6.0319292 6.0319292 5.6084656 5.6084656 5.6084656
 5.6084656 5.6084656 5.6084656 5.6084656 5.6084656 5.6084656 5.6084656
 5.6084656 5.4092494 5.4092494 5.4092494 4.1455524 4.1455524 4.1455524
 4.1455524 4.1455524 4.1455524 4.1455524 4.1455524 4.1455524 3.8128218
 3.8128218 3.8128218 3.8128218 3.8128218 3.47234   3.47234   3.47234
 3.47234   3.47234   3.47234   3.47234   3.47234   3.47234   3.47234
 3.47234   3.47234   2.8254916 2.8254916 2.8254916 2.8254916 2.8254916
 2.8254916 2.8254916 2.8254916 2.8254916 2.8254916 2.8254916 2.8254916
 2.8254916 2.758062  2.758062  2.758062  2.758062  2.7404598 2.7404598
 2.7404598 2.7404598 2.7404598 2.7404598 2.7404598 2.7404598 2.7404598
 2.7220366 2.7220366 2.7220366 2.7220366 2.7220366 2.7220366 2.7220366
 2.7220366 2.7220366 2.7069814 2.6990864 2.5579378 2.5579378 2.5579378
 2.5579378 2.4547884 2.4547884 2.4547884 2.4547884 2.4547884 2.4547884
 2.4547884 2.4547884 2.4547884 2.4547884 2.4547884 2.078664  2.078664
 2.078664  2.078664  2.078664  2.078664  2.078664  2.078664  2.078664
 2.078664  2.078664  2.078664  2.078664  2.078664  2.078664  2.078664
 2.078664  2.078664  2.078664  2.078664  2.078664  2.078664  2.078664
 2.078664  2.078664  2.078664  2.078664  2.078664  2.078664  2.078664
 2.078664  2.078664  2.078664  2.078664  2.078664  2.078664  2.078664
 2.078664  2.078664  2.078664  2.078664  2.078664  2.078664  2.078664
 2.078664  2.078664  2.078664  2.078664  2.078664  2.078664 ]",191.77404594421387
3,"[4.1244888 4.1244888 4.1244888 4.1244888 4.1244888 4.1244888 4.1244888
 4.1244888 4.1244888 4.1244888 4.1244888 4.1244888 4.1244888 4.1244888
 4.1244888 4.1244888 4.1244888 4.1244888 4.1244888 4.1244888 4.1244888
 4.1244888 4.1244888 4.1244888 4.1244888 4.1244888 3.9992002 3.9992002
 3.9992002 3.9992002 3.9992002 3.9992002 3.9992002 3.9992002 3.1071134
 3.1071134 3.1071134 3.1071134 3.1071134 3.1071134 3.1071134 3.1071134
 3.1071134 3.1071134 3.1071134 3.1071134 3.1071134 3.1071134 2.9919274
 2.9919274 2.9919274 2.9919274 2.8839314 2.8839314 2.8839314 2.8839314
 2.8839314 2.8839314 2.8839314 2.8839314 2.8839314 2.8839314 2.8839314
 2.8839314 2.8839314 2.8839314 2.8839314 2.8839314 2.760473  2.5947846
 2.5947846 2.5947846 2.5947846 2.588249  2.588249  2.588249  2.4836312
 2.4836312 2.4836312 2.4836312 2.4836312 2.3734908 2.3734908 2.3734908
 2.3734908 2.3734908 2.3734908 2.3734908 2.3734908 2.3734908 2.3734908
 2.173302  2.173302  2.1153938 2.1153938 2.1153938 2.1153938 2.1153938
 2.1153938 2.1153938 2.0718726 2.0718726 2.0718726 2.0718726 2.0718726
 2.0718726 2.0718726 2.0718726 2.0718726 2.0718726 2.0718726 2.0718726
 2.0718726 2.0718726 2.0718726 2.0718726 2.0718726 1.9689686 1.9689686
 1.9689686 1.9689686 1.9689686 1.9689686 1.9689686 1.9689686 1.9689686
 1.9689686 1.9689686 1.9689686 1.9689686 1.9689686 1.9689686 1.9689686
 1.9689686 1.9689686 1.9689686 1.9689686 1.9689686 1.9689686 1.9317496
 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496
 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496
 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496
 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496
 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496
 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496
 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496 1.9317496]",251.59576892852783
4,"[7.31544   7.31544   7.31544   7.31544   7.31544   7.31544   7.31544
 7.31544   7.31544   7.31544   7.31544   7.31544   7.31544   7.31544
 7.31544   7.31544   7.31544   7.31544   7.31544   7.2185822 7.2185822
 5.9274368 5.9274368 5.9274368 5.0864314 5.0864314 5.0864314 5.0864314
 4.0083802 4.0083802 4.0083802 4.0083802 4.0083802 4.0083802 4.0083802
 4.0083802 4.0083802 4.0083802 4.0083802 4.0083802 4.0083802 3.5114798
 3.5114798 3.5114798 3.5114798 3.5114798 3.5114798 3.4089852 3.4089852
 3.4089852 3.4089852 3.4089852 3.4089852 3.4089852 3.4089852 3.4089852
 3.4089852 3.4089852 3.4089852 3.4089852 3.4089852 3.4089852 3.4089852
 3.4089852 3.4089852 3.4089852 3.4089852 2.9345268 2.9345268 2.9345268
 2.9345268 2.9345268 2.9345268 2.9345268 2.9345268 2.9345268 2.9345268
 2.8061444 2.8061444 2.8061444 2.8061444 2.8061444 2.8061444 2.8061444
 2.8061444 2.785574  2.785574  2.785574  2.785574  2.785574  2.785574
 2.785574  2.785574  2.785574  2.7376208 2.7376208 2.7376208 2.7376208
 2.7376208 2.7376208 2.7376208 2.7310728 2.7310728 2.7310728 2.7310728
 2.7310728 2.7310728 2.7310728 2.7310728 2.7310728 2.7310728 2.7310728
 2.450722  2.450722  2.450722  2.450722  2.450722  2.450722  2.450722
 2.450722  2.450722  2.450722  2.450722  2.450722  2.450722  2.450722
 2.450722  2.450722  2.450722  2.450722  2.450722  2.450722  2.450722
 2.450722  2.450722  2.450722  2.450722  2.450722  2.450722  2.450722
 2.450722  2.450722  2.450722  2.450722  2.4101322 2.4101322 2.4101322
 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322
 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322
 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322
 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322
 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322
 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322
 2.4101322 2.4101322 2.4101322 2.4101322 2.4101322]",271.9001944065094
5,"[7.1775264 7.1775264 7.1775264 7.1775264 7.1775264 7.1775264 7.1775264
 7.1775264 7.1334482 7.1334482 6.9093094 5.2279308 5.2279308 4.2322774
 4.2322774 4.2322774 4.2322774 4.2322774 4.2322774 4.2322774 4.2322774
 4.2322774 4.2322774 4.2322774 4.2322774 4.2322774 4.2322774 4.2322774
 4.2322774 4.2322774 4.2322774 4.2322774 4.2322774 4.2322774 4.2322774
 4.2322774 4.2322774 4.2322774 4.2322774 4.2322774 4.2322774 4.2322774
 3.9977836 3.6420756 3.6420756 3.6420756 3.6420756 3.6420756 3.6420756
 3.6420756 3.6420756 3.6420756 3.6420756 3.6420756 3.6420756 3.6420756
 3.6420756 3.6420756 3.6420756 3.6420756 3.6420756 3.6318572 3.6318572
 3.6318572 3.6318572 3.6318572 3.6008488 3.6008488 3.5801828 3.4217052
 3.4217052 3.1616492 3.1616492 3.1616492 3.1616492 3.1616492 3.1616492
 3.1616492 3.1616492 3.1616492 3.1616492 3.1616492 3.1616492 3.1616492
 3.1616492 3.1459004 3.1459004 3.1459004 3.1459004 3.1459004 3.1459004
 3.1459004 2.9047296 2.9047296 2.9047296 2.9047296 2.9047296 2.9047296
 2.9047296 2.9047296 2.9047296 2.9047296 2.8128582 2.8128582 2.8128582
 2.8128582 2.8128582 2.7046892 2.7046892 2.7046892 2.7046892 2.7046892
 2.7046892 2.7046892 2.7046892 2.7046892 2.7046892 2.7046892 2.7046892
 2.7046892 2.7046892 2.7046892 2.7046892 2.7046892 2.7046892 2.7046892
 2.7046892 2.7046892 2.559758  2.559758  2.559758  2.559758  2.559758
 2.559758  2.559758  2.559758  2.559758  2.559758  2.5518858 2.5518858
 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858
 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858
 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858
 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858
 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858
 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858 2.5518858
 2.5518858 2.5518858 2.542652  2.4938208 2.4938208 2.4938208 2.4938208
 2.4938208 2.4938208 2.4938208 2.4938208 2.4938208 2.4938208 2.4938208
 2.4938208 2.4938208 2.4938208 2.4938208]",263.8775930404663
6,"[7.545126  7.545126  7.4487384 7.4487384 6.942497  6.942497  6.942497
 6.1604252 6.1604252 6.1604252 6.1604252 6.1604252 6.1604252 6.1604252
 6.1604252 6.1604252 6.1604252 6.1604252 6.1604252 5.8307536 5.8307536
 5.8307536 5.8307536 5.8307536 5.8307536 5.8307536 5.4064096 5.4064096
 5.4064096 5.4064096 5.4064096 5.4064096 5.4064096 5.4064096 5.4064096
 5.4064096 5.4064096 5.4064096 5.0535696 5.0535696 5.0535696 5.0535696
 5.0535696 5.0535696 5.0535696 5.0535696 5.0535696 5.0535696 5.0535696
 4.8083014 4.8083014 4.8083014 4.8083014 4.6802334 4.6802334 4.6802334
 4.6802334 4.6802334 4.6802334 4.6802334 4.6802334 4.6802334 4.6802334
 4.6802334 4.6802334 4.6802334 4.6802334 4.6802334 4.6631308 4.6631308
 4.6631308 4.5711076 4.5711076 4.5711076 4.543479  4.543479  4.543479
 4.4190896 4.4190896 4.4190896 4.4190896 4.4190896 4.4190896 4.4190896
 4.4190896 4.4190896 4.4190896 4.375354  4.375354  4.375354  4.327539
 4.327539  4.327539  4.327539  4.327539  4.327539  4.327539  4.327539
 4.327539  4.327539  4.327539  4.327539  4.327539  4.327539  4.327539
 4.327539  4.327539  4.327539  4.327539  4.327539  4.327539  4.327539
 4.327539  4.327539  4.327539  4.327539  4.327539  4.327539  4.327539
 4.327539  4.327539  4.327539  4.327539  4.327539  4.327539  4.327539
 4.327539  4.327539  4.327539  4.327539  4.327539  4.327539  4.327539
 4.327539  4.327539  4.327539  4.327539  4.327539  4.327539  4.327539 ]",236.4968605041504
7,"[6.1999286 6.1999286 6.1999286 6.1999286 6.1999286 6.1999286 6.1999286
 6.1999286 6.1999286 6.1999286 6.1999286 6.1999286 6.1999286 6.025005
 3.9053332 3.9053332 3.9053332 3.9053332 3.9053332 3.9053332 3.9053332
 3.9053332 3.9053332 3.9053332 3.9053332 3.9053332 3.9053332 3.9053332
 3.9053332 3.9053332 3.9053332 3.9053332 3.9053332 3.9053332 3.0389462
 3.0389462 3.0389462 3.0389462 3.0389462 3.0389462 3.0389462 3.0389462
 3.0389462 3.0389462 3.0389462 3.0389462 3.0389462 3.0389462 3.0389462
 2.9603494 2.9603494 2.9603494 2.9603494 2.9603494 2.9603494 2.9603494
 2.9603494 2.9603494 2.9603494 2.9603494 2.9603494 2.9603494 2.8476286
 2.8476286 2.8476286 2.8476286 2.8476286 2.8476286 2.7361192 2.7361192
 2.7361192 2.7361192 2.6387156 2.6387156 2.6387156 2.6387156 2.6387156
 2.6387156 2.6387156 2.6387156 2.6387156 2.6387156 2.6387156 2.6387156
 2.6387156 2.6387156 2.6387156 2.6289436 2.6289436 2.6289436 2.6289436
 2.5891336 2.5891336 2.453909  2.453909  2.453909  2.453909  2.453909
 2.453909  2.453909  2.453909  2.3315154 2.3315154 2.3315154 2.3315154
 2.3315154 2.3315154 2.3315154 2.3144536 2.3144536 2.3144536 2.3144536
 2.2541102 2.2541102 2.2541102 2.2541102 2.2541102 2.2541102 2.2541102
 2.2541102 2.2541102 2.2541102 2.2541102 2.2541102 2.2541102 2.2541102
 2.2541102 2.2541102 2.2541102 2.2541102 2.2541102 2.2541102 2.2541102
 2.2541102 2.2541102 2.2541102 2.2541102 2.2541102 2.2541102 2.2541102
 2.2541102 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576
 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576
 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576
 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576
 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576
 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576
 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576 2.2028576
 2.2028576 2.2028576]",282.12366557121277
8,"[5.6449776 4.6749094 4.6749094 4.6749094 4.6749094 4.6749094 4.6749094
 4.0424076 4.0424076 4.0424076 4.0424076 4.0424076 4.0424076 4.0424076
 4.0424076 4.0424076 4.0424076 4.0424076 4.0424076 4.0424076 4.0424076
 4.0424076 4.0424076 4.0424076 4.0424076 4.0424076 4.0424076 4.0424076
 4.0424076 4.0424076 4.0424076 4.0424076 4.0424076 4.0424076 4.0424076
 3.7494936 3.7494936 3.7494936 3.7494936 3.7494936 3.7494936 3.6084548
 3.6084548 3.6084548 3.6084548 3.32165   3.32165   3.32165   3.32165
 3.32165   3.32165   3.32165   3.32165   3.32165   3.32165   3.32165
 3.32165   3.32165   3.32165   3.1257108 3.1084442 3.1084442 3.0961972
 3.0961972 3.0961972 3.0239384 3.0239384 3.0239384 3.0239384 3.0239384
 3.0239384 2.8282384 2.8282384 2.7839746 2.7839746 2.7839746 2.7839746
 2.7839746 2.7839746 2.7839746 2.7839746 2.7839746 2.7839746 2.6886898
 2.6886898 2.6886898 2.6886898 2.6886898 2.6886898 2.6886898 2.6886898
 2.6886898 2.6886898 2.6367656 2.6367656 2.6367656 2.6367656 2.6367656
 2.6367656 2.6367656 2.6367656 2.6367656 2.6367656 2.6367656 2.6367656
 2.6076032 2.6076032 2.6076032 2.6076032 2.6076032 2.6076032 2.6076032
 2.6076032 2.6076032 2.6076032 2.6076032 2.6076032 2.6076032 2.6076032
 2.6076032 2.6076032 2.6076032 2.6076032 2.6076032 2.6076032 2.6076032
 2.6076032 2.6076032 2.6076032 2.6076032 2.6076032 2.6076032 2.6076032
 2.6076032 2.6076032 2.589508  2.589508  2.589508  2.589508  2.589508
 2.589508  2.589508  2.589508  2.589508  2.589508  2.589508  2.589508
 2.589508  2.589508  2.589508  2.589508  2.589508  2.589508  2.589508
 2.589508  2.589508  2.589508  2.589508  2.589508  2.508856  2.508856
 2.508856  2.508856  2.4485004 2.4485004 2.4485004 2.4485004 2.4485004
 2.4485004 2.4485004 2.4485004 2.4485004 2.4485004 2.4485004 2.4485004
 2.4485004 2.4485004 2.4485004 2.4485004 2.4485004 2.4485004 2.4485004
 2.4485004 2.4485004 2.4485004 2.4485004 2.4485004 2.4485004 2.4485004
 2.4485004 2.4485004 2.4485004 2.4485004 2.4485004 2.4485004 2.4485004
 2.4485004 2.4485004 2.4485004 2.4485004]",295.5032241344452
9,"[6.507373  5.9382644 5.8236366 5.8236366 5.8236366 5.8236366 5.8236366
 5.8236366 5.8236366 5.8236366 5.8236366 5.8236366 5.8236366 5.8236366
 5.8236366 5.8236366 5.8236366 5.8236366 5.8236366 5.8236366 5.8236366
 5.8236366 5.8236366 5.5995592 5.5995592 5.5995592 5.5995592 5.5995592
 5.5995592 5.5995592 5.2713122 4.6161768 4.6161768 4.6161768 4.6161768
 4.148499  4.148499  4.148499  4.148499  4.148499  4.148499  4.148499
 4.148499  4.148499  4.148499  3.842448  3.842448  3.842448  3.842448
 3.8178762 3.8178762 3.8178762 3.8178762 3.8178762 3.8178762 3.8178762
 3.6761752 3.6761752 3.6761752 3.4693152 3.4693152 3.4693152 3.4017438
 3.4017438 3.3977586 3.3977586 3.3977586 3.390192  3.390192  3.390192
 3.0971574 3.0971574 3.0971574 3.0971574 3.0971574 3.0971574 3.0971574
 3.0971574 3.0971574 3.0971574 3.0971574 3.0971574 3.0971574 3.0971574
 3.0971574 3.0971574 3.0971574 3.0971574 3.0971574 3.0971574 3.0971574
 3.0971574 3.0971574 3.0971574 3.0971574 3.0971574 3.0971574 3.0971574
 3.0971574 3.0971574 3.0971574 3.0971574 3.0547734 3.0354248 2.8545568
 2.8545568 2.8545568 2.8545568 2.8545568 2.8545568 2.8545568 2.8545568
 2.8545568 2.8471842 2.8471842 2.8471842 2.8471842 2.8471842 2.8471842
 2.8471842 2.8471842 2.8471842 2.8471842 2.8078156 2.8078156 2.8078156
 2.8078156 2.8078156 2.8078156 2.7764066 2.7764066 2.7764066 2.7764066
 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066
 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066
 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066
 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066
 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066
 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066 2.7764066
 2.7764066 2.7764066 2.7764066 2.7764066]",245.53504586219788
